Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	
46.4159	0	0	0	0	0	0	0	2.67068e-58	3.45153e-43	2.80984e-33	5.00533e-26	2.14738e-20	7.40865e-16	4.15306e-12	5.93657e-09	2.94204e-06	
49.7702	0	0	0	0	0	0	0	2.72515e-41	6.18118e-30	2.83017e-22	1.30389e-16	3.43304e-12	1.30041e-08	1.22027e-05	0.00400623	0.580928	
53.367	0	0	0	0	0	0	1.2765e-34	1.27241e-24	3.50765e-18	3.42731e-13	4.44904e-09	1.12444e-05	0.00763624	1.85914	202.636	11656.8	
57.2237	0	0	0	0	0	0	5.16091e-26	6.69709e-17	5.16872e-11	1.1664e-06	0.0031333	1.92508	397.33	35634.2	1.66506e+06	4.62492e+07	
61.3591	0	0	0	0	0	0	9.65128e-18	7.69547e-10	8.22433e-05	0.370948	251.458	47732.4	3.63066e+06	1.38964e+08	3.12353e+09	4.60079e+10	
65.7933	0	0	0	0	0	0	6.99586e-09	0.00403176	29.6468	20702.8	3.39018e+06	2.0866e+08	6.36337e+09	1.14576e+11	1.37047e+12	1.18332e+13	
70.548	0	0	0	0	0	2.07586e-05	2.1383	3648.23	1.13374e+06	1.23741e+08	5.97139e+09	1.51367e+11	2.321e+12	2.39675e+13	1.80519e+14	1.0526e+15	
75.6463	0	0	0	0	0	0.157848	10482.7	1.08799e+07	1.71683e+09	8.96663e+10	2.22374e+12	3.20774e+13	3.0624e+14	2.1144e+15	1.12545e+16	4.84325e+16	
81.1131	0	0	0	0	0	3796.91	3.37262e+07	1.24467e+10	9.10613e+11	2.5094e+13	3.59544e+14	3.22251e+15	2.03e+16	9.72248e+16	3.74305e+17	1.20687e+18	
86.9749	0	0	0	0	0	7.10609e+07	9.47908e+10	9.2162e+12	2.54161e+14	3.29132e+15	2.56944e+16	1.39668e+17	5.79134e+17	1.94818e+18	5.55312e+18	1.38459e+19	
93.2603	0	0	0	0	9.32182e+09	3.08569e+12	1.28003e+14	2.12708e+15	2.04299e+16	1.32604e+17	6.36835e+17	2.41121e+18	7.54657e+18	2.02408e+19	4.78303e+19	1.01748e+20	
100	0	0	0	0	5.93294e+11	1.39248e+14	4.67689e+15	6.02512e+16	4.37554e+17	2.1662e+18	8.14362e+18	2.48674e+19	6.4523e+19	1.46862e+20	3.00211e+20	5.61116e+20	
107.227	0	0	0	0	1.80181e+13	4.71346e+15	1.22555e+17	1.21694e+18	6.95201e+18	2.75982e+19	8.45917e+19	2.13769e+20	4.65396e+20	9.00376e+20	1.5835e+21	2.57543e+21	
114.976	0	0	0	0	1.44683e+16	5.10392e+17	5.21547e+18	2.78552e+19	9.9811e+19	2.73043e+20	6.15305e+20	1.19929e+21	2.09002e+21	3.33465e+21	4.95689e+21	6.9563e+21	
123.285	0	0	0	2.19798e+17	4.08792e+18	2.55343e+19	9.46793e+19	2.56706e+20	5.65469e+20	1.07689e+21	1.84525e+21	2.92198e+21	4.35506e+21	6.18743e+21	8.45413e+21	1.11787e+22	
132.194	0	0	0	0	6.43005e+18	5.50825e+19	2.34364e+20	6.9057e+20	1.61006e+21	3.18549e+21	5.57911e+21	8.89462e+21	1.31634e+22	1.83447e+22	2.43371e+22	3.09947e+22	
