Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	Zeitschritt_16	Zeitschritt_17	Zeitschritt_18	Zeitschritt_19	Zeitschritt_20	Zeitschritt_21	Zeitschritt_22	Zeitschritt_23	Zeitschritt_24	Zeitschritt_25	Zeitschritt_26	Zeitschritt_27	Zeitschritt_28	Zeitschritt_29	Zeitschritt_30	Zeitschritt_31	Zeitschritt_32	Zeitschritt_33	Zeitschritt_34	Zeitschritt_35	Zeitschritt_36	Zeitschritt_37	Zeitschritt_38	Zeitschritt_39	Zeitschritt_40	Zeitschritt_41	Zeitschritt_42	Zeitschritt_43	Zeitschritt_44	Zeitschritt_45	Zeitschritt_46	Zeitschritt_47	Zeitschritt_48	Zeitschritt_49	Zeitschritt_50	Zeitschritt_51	Zeitschritt_52	Zeitschritt_53	Zeitschritt_54	Zeitschritt_55	Zeitschritt_56	Zeitschritt_57	Zeitschritt_58	Zeitschritt_59	Zeitschritt_60	Zeitschritt_61	Zeitschritt_62	Zeitschritt_63	Zeitschritt_64	Zeitschritt_65	Zeitschritt_66	Zeitschritt_67	Zeitschritt_68	Zeitschritt_69	Zeitschritt_70	Zeitschritt_71	Zeitschritt_72	Zeitschritt_73	Zeitschritt_74	Zeitschritt_75	Zeitschritt_76	Zeitschritt_77	Zeitschritt_78	Zeitschritt_79	Zeitschritt_80	
2.00923	0	0	2.06224e+22	4.81199e+22	7.54716e+22	9.93785e+22	1.18594e+23	1.32961e+23	1.42864e+23	1.4891e+23	1.51766e+23	1.52068e+23	1.50383e+23	1.47196e+23	1.42906e+23	1.37841e+23	1.3226e+23	1.26368e+23	1.20322e+23	1.14243e+23	1.08221e+23	1.02323e+23	9.65964e+22	9.10735e+22	8.57759e+22	8.07164e+22	7.59009e+22	7.13304e+22	6.70025e+22	6.29119e+22	5.90513e+22	5.54126e+22	5.19864e+22	4.8763e+22	4.57327e+22	4.28854e+22	4.02114e+22	3.77012e+22	3.53454e+22	3.31352e+22	3.10621e+22	2.91179e+22	2.72948e+22	2.55855e+22	2.39831e+22	2.24809e+22	2.10729e+22	1.97532e+22	1.85162e+22	1.73569e+22	1.62703e+22	1.5252e+22	1.42976e+22	1.34031e+22	1.25647e+22	1.1779e+22	1.10426e+22	1.03524e+22	9.70552e+21	9.09921e+21	8.53092e+21	7.99826e+21	7.49898e+21	7.03099e+21	6.59231e+21	6.1811e+21	5.79563e+21	5.43429e+21	5.09555e+21	4.778e+21	4.48031e+21	4.20123e+21	3.93958e+21	3.69429e+21	3.46431e+21	3.24869e+21	3.04654e+21	2.857e+21	2.67928e+21	2.51265e+21	2.35641e+21	
2.15443	0	9.67665e+22	1.62047e+23	2.04592e+23	2.30646e+23	2.44779e+23	2.5036e+23	2.49881e+23	2.45181e+23	2.37615e+23	2.2818e+23	2.17604e+23	2.06415e+23	1.94995e+23	1.83613e+23	1.72459e+23	1.61659e+23	1.51296e+23	1.41422e+23	1.32063e+23	1.23228e+23	1.14915e+23	1.07112e+23	9.98026e+22	9.2966e+22	8.65794e+22	8.06188e+22	7.50601e+22	6.9879e+22	6.50521e+22	6.05567e+22	5.63711e+22	5.24747e+22	4.88481e+22	4.54728e+22	4.23317e+22	3.94087e+22	3.66885e+22	3.41573e+22	3.18017e+22	2.96096e+22	2.75696e+22	2.56711e+22	2.39041e+22	2.22595e+22	2.07288e+22	1.9304e+22	1.79778e+22	1.67431e+22	1.55938e+22	1.45238e+22	1.35276e+22	1.26001e+22	1.17365e+22	1.09324e+22	1.01836e+22	9.4864e+21	8.83711e+21	8.23245e+21	7.66934e+21	7.1449e+21	6.65646e+21	6.20153e+21	5.77781e+21	5.38314e+21	5.01552e+21	4.67309e+21	4.35411e+21	4.05697e+21	3.78016e+21	3.5223e+21	3.28208e+21	3.05828e+21	2.84979e+21	2.65554e+21	2.47456e+21	2.30595e+21	2.14886e+21	2.00249e+21	1.86611e+21	1.73904e+21	
2.31013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.47708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.65609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.84804	9.67665e+23	8.70898e+23	7.83809e+23	7.05428e+23	6.34885e+23	5.71396e+23	5.14257e+23	4.62831e+23	4.16548e+23	3.74893e+23	3.37404e+23	3.03663e+23	2.73297e+23	2.45967e+23	2.21371e+23	1.99234e+23	1.7931e+23	1.61379e+23	1.45241e+23	1.30717e+23	1.17645e+23	1.05881e+23	9.52928e+22	8.57635e+22	7.71872e+22	6.94685e+22	6.25216e+22	5.62695e+22	5.06425e+22	4.55783e+22	4.10204e+22	3.69184e+22	3.32266e+22	2.99039e+22	2.69135e+22	2.42222e+22	2.17999e+22	1.96199e+22	1.7658e+22	1.58922e+22	1.43029e+22	1.28726e+22	1.15854e+22	1.04268e+22	9.38416e+21	8.44574e+21	7.60117e+21	6.84105e+21	6.15695e+21	5.54125e+21	4.98713e+21	4.48841e+21	4.03957e+21	3.63562e+21	3.27205e+21	2.94485e+21	2.65036e+21	2.38533e+21	2.14679e+21	1.93212e+21	1.7389e+21	1.56501e+21	1.40851e+21	1.26766e+21	1.14089e+21	1.02681e+21	9.24125e+20	8.31712e+20	7.48541e+20	6.73687e+20	6.06318e+20	5.45686e+20	4.91118e+20	4.42006e+20	3.97805e+20	3.58025e+20	3.22222e+20	2.9e+20	2.61e+20	2.349e+20	2.1141e+20	
3.05386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.27455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.51119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.76494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
