Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	
1	0	0	0	0	5.93294e+11	1.39248e+14	4.67689e+15	6.02512e+16	4.37555e+17	2.16621e+18	8.1437e+18	2.48676e+19	6.4523e+19	1.46861e+20	3.00211e+20	5.61147e+20	
1.07227	0	0	0	0	1.80181e+13	4.71346e+15	1.22555e+17	1.21694e+18	6.95205e+18	2.75988e+19	8.45968e+19	2.13798e+20	4.65523e+20	9.00821e+20	1.58481e+21	2.57883e+21	
1.14976	0	0	0	0	1.44683e+16	5.10392e+17	5.21548e+18	2.78553e+19	9.98128e+19	2.73058e+20	6.15385e+20	1.19961e+21	2.09103e+21	3.33732e+21	4.96296e+21	6.96857e+21	
1.23285	0	0	0	2.19798e+17	4.08792e+18	2.55343e+19	9.46793e+19	2.56707e+20	5.65475e+20	1.07692e+21	1.84537e+21	2.92237e+21	4.35613e+21	6.18998e+21	8.45962e+21	1.11897e+22	
1.32194	0	0	0	0	6.43005e+18	5.50825e+19	2.34364e+20	6.9057e+20	1.61006e+21	3.18551e+21	5.5792e+21	8.89497e+21	1.31645e+22	1.8348e+22	2.4345e+22	3.10119e+22	
1.41747	0	0	0	7.3031e+18	8.62202e+19	4.24336e+20	1.31911e+21	3.0937e+21	6.006e+21	1.01923e+22	1.56528e+22	2.22683e+22	2.98324e+22	3.80878e+22	4.67587e+22	5.55767e+22	
1.51991	0	0	0	1.11843e+20	9.39427e+20	3.20599e+21	7.36204e+21	1.34618e+22	2.12277e+22	3.01833e+22	3.97822e+22	4.9502e+22	5.88997e+22	6.76358e+22	7.54762e+22	8.22819e+22	
1.62975	0	0	1.18644e+21	5.03951e+21	1.16265e+22	2.01927e+22	2.97409e+22	3.93662e+22	4.83902e+22	5.63782e+22	6.31036e+22	6.84951e+22	7.25867e+22	7.54773e+22	7.72994e+22	7.8199e+22	
1.74753	0	0	0	0	2.28721e+18	2.73e+19	1.3762e+20	4.41511e+20	1.07082e+21	2.14851e+21	3.76146e+21	5.94583e+21	8.6853e+21	1.19185e+22	1.55512e+22	1.94699e+22	
1.87382	0	0	0	4.36676e+21	1.39976e+22	2.81797e+22	4.556e+22	6.46516e+22	8.40949e+22	1.02779e+23	1.19882e+23	1.34861e+23	1.47419e+23	1.57453e+23	1.65009e+23	1.70235e+23	
2.00923	0	0	2.06224e+22	4.81199e+22	7.54716e+22	9.93785e+22	1.18594e+23	1.32961e+23	1.42864e+23	1.4891e+23	1.51766e+23	1.52068e+23	1.50383e+23	1.47196e+23	1.42906e+23	1.37841e+23	
2.15443	0	9.67665e+22	1.62047e+23	2.04592e+23	2.30646e+23	2.44779e+23	2.5036e+23	2.49881e+23	2.45181e+23	2.37615e+23	2.2818e+23	2.17604e+23	2.06415e+23	1.94995e+23	1.83613e+23	1.72459e+23	
2.31013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.47708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.65609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.84804	9.67665e+23	8.70898e+23	7.83809e+23	7.05428e+23	6.34885e+23	5.71396e+23	5.14257e+23	4.62831e+23	4.16548e+23	3.74893e+23	3.37404e+23	3.03663e+23	2.73297e+23	2.45967e+23	2.21371e+23	1.99234e+23	
3.05386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.27455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.51119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.76494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.03702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.32876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.64159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.97702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.3367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.72237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.13591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.57933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.0548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.56463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.11131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.69749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.32603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.7227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.4976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12.3285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13.2194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.1747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15.1991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16.2975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.4753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18.7382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20.0923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21.5443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23.1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24.7708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26.5609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28.4804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30.5386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32.7455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35.1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37.6494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40.3702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
43.2876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46.4159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49.7702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
53.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57.2237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61.3591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65.7933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70.548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
75.6463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
